date,prcp,srad,tmax,tmin,vprp
1980-01-01,0.02,193.26,6.55,-1.63,539.12
1980-01-02,0.01,208.78,6.23,-1.79,523.07
1980-01-03,8.75,169.72,5.76,-3.07,495.24
1980-01-04,4.06,122.21,4.47,-1.41,520.13
1980-01-05,0.39,160.0,2.76,-3.61,448.72
1980-01-06,3.11,177.67,1.66,-5.84,402.71
1980-01-07,1.71,185.77,5.89,-2.18,492.27
1980-01-08,0.22,213.08,3.84,-3.1,472.49
1980-01-09,0.0,271.66,6.41,-2.86,469.1
1980-01-10,0.0,324.58,9.94,-6.27,445.17
1980-01-11,15.81,206.5,13.29,2.19,659.52
1980-01-12,5.3,308.48,11.79,-5.21,469.77
1980-01-13,6.97,202.59,8.32,-3.19,512.89
1980-01-14,2.48,81.96,6.63,3.53,713.82
1980-01-15,0.05,257.97,9.62,0.78,665.86
1980-01-16,2.44,213.42,12.32,1.36,726.27
1980-01-17,11.97,173.62,14.3,6.81,947.54
1980-01-18,5.45,160.78,12.91,6.51,901.34
1980-01-19,0.58,317.85,12.31,-2.74,572.74
1980-01-20,0.0,313.19,10.96,-1.17,566.95
1980-01-21,1.77,221.5,8.86,-1.19,576.4
1980-01-22,11.48,190.58,7.95,0.41,596.05
1980-01-23,3.63,280.94,5.2,-3.95,460.03
1980-01-24,0.0,331.5,8.74,-5.0,451.56
1980-01-25,0.0,317.23,11.69,-0.04,598.05
1980-01-26,0.0,318.33,11.24,-0.37,604.88
1980-01-27,0.0,288.77,8.61,-0.6,562.66
1980-01-28,0.0,312.66,5.92,-4.29,445.39
1980-01-29,0.01,272.39,3.34,-4.78,398.94
1980-01-30,8.8,238.71,0.61,-7.23,333.7
1980-01-31,7.77,265.15,-0.1,-8.55,283.77
1980-02-01,1.61,364.07,-3.38,-14.22,184.51
1980-02-02,0.0,414.84,-3.3,-19.77,124.74
1980-02-03,0.0,415.84,-1.67,-18.39,132.91
1980-02-04,0.0,413.1,-1.42,-16.59,151.6
1980-02-05,2.73,327.98,1.28,-16.65,179.74
1980-02-06,3.05,274.79,1.75,-7.78,311.13
1980-02-07,0.71,284.09,0.45,-5.75,335.73
1980-02-08,0.78,328.69,0.82,-14.18,229.91
1980-02-09,1.7,245.71,0.92,-6.52,337.44
1980-02-10,0.48,257.03,0.53,-4.58,362.84
1980-02-11,0.0,441.09,3.3,-13.83,224.21
1980-02-12,0.0,431.42,3.73,-10.8,236.25
1980-02-13,0.0,449.49,5.53,-14.31,211.32
1980-02-14,0.0,451.31,9.95,-10.14,294.87
1980-02-15,8.3,333.68,11.09,-3.77,441.83
1980-02-16,3.27,342.35,11.44,-4.92,408.88
1980-02-17,0.17,447.72,6.39,-11.17,259.0
1980-02-18,0.0,457.02,4.14,-13.85,219.89
1980-02-19,0.22,368.12,10.44,-8.39,347.44
1980-02-20,3.35,322.06,11.68,-0.79,586.95
1980-02-21,3.17,297.88,15.61,4.57,826.27
1980-02-22,0.69,423.87,20.57,6.75,920.75
1980-02-23,0.0,446.48,20.77,3.64,806.15
1980-02-24,0.06,355.78,17.8,2.96,737.85
1980-02-25,1.28,286.57,14.13,0.2,579.39
1980-02-26,0.5,402.82,6.79,-10.07,311.94
1980-02-27,0.03,425.66,4.8,-7.41,336.99
1980-02-28,0.0,442.76,12.12,-2.52,453.72
1980-02-29,4.08,371.96,10.7,-6.66,352.96
1980-03-01,8.16,298.6,6.5,-10.32,252.12
1980-03-02,2.72,347.83,-4.07,-13.77,174.14
1980-03-03,0.0,515.78,-1.04,-23.49,113.89
1980-03-04,9.57,386.36,4.65,-12.77,264.63
1980-03-05,5.78,325.58,10.17,-0.42,542.69
1980-03-06,0.86,474.16,13.11,-1.05,559.21
1980-03-07,4.78,372.89,14.57,-0.78,608.08
1980-03-08,2.48,377.97,19.96,2.26,726.73
1980-03-09,0.3,481.9,18.17,2.62,721.09
1980-03-10,1.09,373.2,16.32,1.16,637.71
1980-03-11,0.36,524.79,16.0,-5.67,426.75
1980-03-12,0.26,348.08,10.5,-5.21,418.72
1980-03-13,1.0,327.25,9.72,-0.65,527.24
1980-03-14,0.31,488.15,10.67,-3.1,448.04
1980-03-15,0.0,538.07,13.94,-6.9,388.52
1980-03-16,9.85,407.76,19.06,-2.65,566.21
1980-03-17,13.16,316.19,17.74,5.82,817.93
1980-03-18,3.32,434.34,16.55,-1.08,584.94
1980-03-19,5.91,384.22,14.19,-4.37,501.75
1980-03-20,29.65,340.35,15.16,1.96,696.35
1980-03-21,10.7,322.04,15.13,3.8,735.08
1980-03-22,0.49,477.78,10.63,-3.56,490.27
1980-03-23,6.42,389.33,14.55,-3.77,519.07
1980-03-24,6.65,340.59,15.71,3.25,748.19
1980-03-25,1.52,339.6,13.63,4.39,777.6
1980-03-26,0.01,314.08,10.52,1.75,652.36
1980-03-27,7.89,393.6,15.77,-2.64,568.09
1980-03-28,3.73,370.26,17.7,2.77,765.55
1980-03-29,0.37,437.03,18.33,6.99,949.01
1980-03-30,0.96,322.39,18.85,8.0,1023.83
1980-03-31,0.43,309.84,16.2,6.81,946.33
1980-04-01,0.04,405.95,15.21,5.05,847.56
1980-04-02,0.0,521.61,22.36,5.12,863.67
1980-04-03,15.48,403.81,24.55,4.03,867.95
1980-04-04,5.19,496.55,22.55,6.17,862.96
1980-04-05,0.01,528.46,16.3,-1.55,568.69
1980-04-06,0.01,539.42,16.87,-2.4,554.12
1980-04-07,0.85,405.45,20.45,2.38,787.08
1980-04-08,14.54,332.98,20.07,9.07,1050.8
1980-04-09,4.76,493.72,19.45,5.83,914.89
1980-04-10,0.0,491.8,18.22,5.71,870.14
